household_ID,cluster,consumption,mean,std
ID1614,2.0,123.24,92.95002341552134,68.66288330097842
ID1621,3.0,244.96,113.57842232275969,77.6044360447549
ID1622,1.0,238.4,153.4128821343718,123.00418083421654
ID1625,0.0,708.0434782608696,131.173002724289,98.9601521767689
ID1627,1.0,209.68,153.4128821343718,123.00418083421654
ID1630,1.0,192.72,153.4128821343718,123.00418083421654
ID1658,1.0,349.76,153.4128821343718,123.00418083421654
ID1659,3.0,191.24,113.57842232275969,77.6044360447549
ID1665,2.0,238.04,92.95002341552134,68.66288330097842
ID1666,4.0,417.88,222.24722808458992,139.78949632344612
ID1672,2.0,231.88,92.95002341552134,68.66288330097842
ID1677,2.0,300.72,92.95002341552134,68.66288330097842
ID1680,4.0,281.36,222.24722808458992,139.78949632344612
ID1681,2.0,168.12,92.95002341552134,68.66288330097842
ID1684,1.0,269.04,153.4128821343718,123.00418083421654
ID1689,1.0,193.68,153.4128821343718,123.00418083421654
ID1693,2.0,147.76,92.95002341552134,68.66288330097842
ID1694,0.0,174.36,131.173002724289,98.9601521767689
ID1697,2.0,204.24,92.95002341552134,68.66288330097842
ID1703,2.0,126.6,92.95002341552134,68.66288330097842
ID1709,0.0,186.04166666666666,131.173002724289,98.9601521767689
ID1713,0.0,183.76,131.173002724289,98.9601521767689
ID1714,2.0,122.52,92.95002341552134,68.66288330097842
ID1718,1.0,460.70588235294116,153.4128821343718,123.00418083421654
ID1721,2.0,274.36,92.95002341552134,68.66288330097842
ID1725,2.0,505.44,92.95002341552134,68.66288330097842
ID1741,2.0,144.44,92.95002341552134,68.66288330097842
ID1742,2.0,148.88,92.95002341552134,68.66288330097842
ID1747,1.0,543.2,153.4128821343718,123.00418083421654
ID1762,1.0,419.75,153.4128821343718,123.00418083421654
ID1771,2.0,241.88,92.95002341552134,68.66288330097842
ID1773,1.0,235.95238095238096,153.4128821343718,123.00418083421654
ID1776,2.0,166.61111111111111,92.95002341552134,68.66288330097842
ID1778,1.0,217.68,153.4128821343718,123.00418083421654
ID1784,4.0,292.16,222.24722808458992,139.78949632344612
ID1790,1.0,323.68,153.4128821343718,123.00418083421654
ID1792,1.0,876.1363636363636,153.4128821343718,123.00418083421654
ID1794,2.0,130.8,92.95002341552134,68.66288330097842
ID1816,1.0,286.625,153.4128821343718,123.00418083421654
ID1817,2.0,137.64,92.95002341552134,68.66288330097842
ID1818,4.0,323.68,222.24722808458992,139.78949632344612
ID1820,0.0,206.32,131.173002724289,98.9601521767689
ID1821,0.0,234.96,131.173002724289,98.9601521767689
ID1828,0.0,198.84,131.173002724289,98.9601521767689
ID1838,2.0,187.56,92.95002341552134,68.66288330097842
ID1845,2.0,156.28,92.95002341552134,68.66288330097842
ID1847,2.0,184.68,92.95002341552134,68.66288330097842
ID1854,2.0,163.16,92.95002341552134,68.66288330097842
ID1855,2.0,114.24,92.95002341552134,68.66288330097842
ID1868,0.0,219.95,131.173002724289,98.9601521767689
ID1872,0.0,452.6,131.173002724289,98.9601521767689
ID1881,0.0,172.56,131.173002724289,98.9601521767689
ID1887,2.0,149.92,92.95002341552134,68.66288330097842
ID1895,1.0,217.08,153.4128821343718,123.00418083421654
ID1908,3.0,171.4,113.57842232275969,77.6044360447549
ID1931,2.0,164.85714285714286,92.95002341552134,68.66288330097842
ID1933,2.0,153.88,92.95002341552134,68.66288330097842
ID1937,0.0,213.44,131.173002724289,98.9601521767689
ID1945,0.0,272.96,131.173002724289,98.9601521767689
ID1947,4.0,379.16,222.24722808458992,139.78949632344612
ID1950,1.0,1073.96,153.4128821343718,123.00418083421654
ID1952,2.0,115.6,92.95002341552134,68.66288330097842
