Cluster,,household_ID,Cluster,label
0,2904,ID2905,0,normal
0,2906,ID2907,0,normal
0,2916,ID2917,0,normal
0,2937,ID2938,0,normal
0,2939,ID2940,0,normal
0,2947,ID2948,0,normal
0,2949,ID2950,0,normal
0,2950,ID2951,0,normal
0,2952,ID2953,0,low
0,2959,ID2960,0,normal
0,2970,ID2971,0,normal
0,2988,ID2989,0,normal
0,3020,ID3021,0,normal
0,3021,ID3022,0,normal
0,3024,ID3025,0,normal
0,3032,ID3033,0,normal
0,3041,ID3042,0,normal
0,3049,ID3050,0,normal
0,3076,ID3077,0,normal
0,3098,ID3099,0,low
0,3124,ID3125,0,normal
0,3128,ID3129,0,normal
0,3149,ID3150,0,normal
0,3153,ID3154,0,normal
0,3155,ID3156,0,normal
0,3159,ID3160,0,normal
0,3168,ID3169,0,normal
0,3208,ID3209,0,low
0,3209,ID3210,0,normal
0,3215,ID3216,0,normal
0,3220,ID3221,0,normal
0,3234,ID3235,0,normal
0,3240,ID3241,0,normal
0,3244,ID3245,0,normal
0,3255,ID3256,0,high
0,3256,ID3257,0,normal
0,3257,ID3258,0,high
0,3263,ID3264,0,low
0,3288,ID3289,0,normal
0,3299,ID3300,0,low
0,3316,ID3317,0,low
0,3326,ID3327,0,normal
0,3341,ID3342,0,normal
0,3345,ID3346,0,high
0,3348,ID3349,0,normal
0,3349,ID3350,0,normal
0,3351,ID3352,0,normal
0,3353,ID3354,0,normal
0,3354,ID3355,0,normal
0,3356,ID3357,0,normal
0,3358,ID3359,0,normal
0,3368,ID3369,0,high
0,3369,ID3370,0,normal
0,3377,ID3378,0,normal
0,3406,ID3407,0,normal
0,3422,ID3423,0,normal
0,3426,ID3427,0,normal
0,3433,ID3434,0,normal
0,3441,ID3442,0,normal
0,3442,ID3443,0,normal
0,3449,ID3450,0,normal
0,3453,ID3454,0,high
0,3464,ID3465,0,normal
0,3477,ID3478,0,normal
0,3480,ID3481,0,low
0,3482,ID3483,0,normal
0,3495,ID3496,0,normal
0,3498,ID3499,0,normal
0,3505,ID3506,0,high
0,3506,ID3507,0,normal
0,3511,ID3512,0,normal
0,3516,ID3517,0,normal
0,3522,ID3523,0,normal
0,3547,ID3548,0,normal
0,3553,ID3554,0,normal
0,3560,ID3561,0,normal
0,3564,ID3565,0,normal
0,3568,ID3569,0,normal
0,3594,ID3595,0,normal
0,3598,ID3599,0,normal
0,3609,ID3610,0,normal
0,3620,ID3621,0,normal
0,3627,ID3628,0,normal
0,3629,ID3630,0,normal
0,3636,ID3637,0,normal
0,3638,ID3639,0,normal
0,3643,ID3644,0,normal
0,3649,ID3650,0,normal
0,3653,ID3654,0,normal
0,3658,ID3659,0,normal
0,3699,ID3700,0,normal
0,3701,ID3702,0,normal
0,3702,ID3703,0,normal
0,3756,ID3757,0,normal
0,3764,ID3765,0,normal
0,3777,ID3778,0,normal
0,3787,ID3788,0,normal
0,3812,ID3813,0,normal
0,3816,ID3817,0,low
0,3820,ID3821,0,normal
0,3827,ID3828,0,normal
0,3829,ID3830,0,low
0,3834,ID3835,0,normal
0,3835,ID3836,0,normal
0,3836,ID3837,0,normal
0,3839,ID3840,0,normal
0,3842,ID3843,0,normal
0,3844,ID3845,0,normal
0,3845,ID3846,0,normal
0,3846,ID3847,0,high
0,3847,ID3848,0,normal
0,3857,ID3858,0,low
0,3864,ID3865,0,normal
0,3865,ID3866,0,normal
0,3868,ID3869,0,normal
0,3869,ID3870,0,normal
0,3877,ID3878,0,normal
0,3879,ID3880,0,normal
0,3899,ID3900,0,normal
0,3901,ID3902,0,normal
0,3903,ID3904,0,normal
0,3914,ID3915,0,normal
0,3917,ID3918,0,normal
0,3924,ID3925,0,normal
0,3930,ID3931,0,normal
0,3931,ID3932,0,normal
0,3932,ID3933,0,normal
0,3950,ID3951,0,normal
0,3953,ID3954,0,normal
0,3956,ID3957,0,normal
0,3957,ID3958,0,normal
0,3958,ID3959,0,normal
0,3959,ID3960,0,normal
0,3962,ID3963,0,normal
0,3980,ID3981,0,normal
0,3988,ID3989,0,normal
0,3994,ID3995,0,normal
0,3995,ID3996,0,normal
0,4001,ID4002,0,normal
0,4008,ID4009,0,normal
0,4009,ID4010,0,normal
0,4011,ID4012,0,normal
0,4015,ID4016,0,normal
0,4016,ID4017,0,normal
0,4017,ID4018,0,normal
0,4018,ID4019,0,normal
0,4019,ID4020,0,normal
0,4022,ID4023,0,normal
0,4028,ID4029,0,high
0,4030,ID4031,0,normal
0,4031,ID4032,0,normal
0,4032,ID4033,0,normal
0,4033,ID4034,0,normal
0,4042,ID4043,0,low
0,4043,ID4044,0,normal
0,4050,ID4051,0,normal
0,4051,ID4052,0,normal
0,4062,ID4063,0,normal
1,8,ID0009,1,normal
1,22,ID0023,1,normal
1,23,ID0024,1,high
1,24,ID0025,1,normal
1,28,ID0029,1,normal
1,34,ID0035,1,normal
1,36,ID0037,1,normal
1,47,ID0048,1,normal
1,48,ID0049,1,normal
1,54,ID0055,1,normal
1,58,ID0059,1,normal
1,60,ID0061,1,normal
1,69,ID0070,1,normal
1,71,ID0072,1,normal
1,76,ID0077,1,normal
1,77,ID0078,1,normal
1,79,ID0080,1,low
1,89,ID0090,1,normal
1,94,ID0095,1,normal
1,96,ID0097,1,normal
1,97,ID0098,1,normal
1,98,ID0099,1,normal
1,101,ID0102,1,normal
1,107,ID0108,1,normal
1,110,ID0111,1,normal
1,119,ID0120,1,normal
1,121,ID0122,1,low
1,131,ID0132,1,normal
1,138,ID0139,1,normal
1,139,ID0140,1,normal
1,143,ID0144,1,normal
1,145,ID0146,1,normal
1,154,ID0155,1,normal
1,160,ID0161,1,normal
1,165,ID0166,1,normal
1,166,ID0167,1,low
1,170,ID0171,1,normal
1,174,ID0175,1,normal
1,187,ID0188,1,normal
1,190,ID0191,1,normal
1,193,ID0194,1,normal
1,196,ID0197,1,normal
1,199,ID0200,1,normal
1,202,ID0203,1,normal
1,204,ID0205,1,normal
1,205,ID0206,1,normal
1,210,ID0211,1,normal
1,212,ID0213,1,normal
1,214,ID0215,1,normal
1,215,ID0216,1,normal
1,217,ID0218,1,normal
1,219,ID0220,1,normal
1,223,ID0224,1,normal
1,229,ID0230,1,normal
1,231,ID0232,1,normal
1,232,ID0233,1,normal
1,235,ID0236,1,normal
1,238,ID0239,1,normal
1,239,ID0240,1,normal
1,241,ID0242,1,normal
1,242,ID0243,1,normal
1,264,ID0265,1,normal
1,265,ID0266,1,normal
1,266,ID0267,1,normal
1,267,ID0268,1,normal
1,269,ID0270,1,normal
1,270,ID0271,1,normal
1,276,ID0277,1,normal
1,278,ID0279,1,normal
1,282,ID0283,1,normal
1,287,ID0288,1,normal
1,291,ID0292,1,normal
1,292,ID0293,1,normal
1,293,ID0294,1,normal
1,297,ID0298,1,normal
1,300,ID0301,1,normal
1,305,ID0306,1,normal
1,307,ID0308,1,normal
1,310,ID0311,1,normal
1,316,ID0317,1,normal
1,323,ID0324,1,normal
1,330,ID0331,1,high
1,332,ID0333,1,normal
1,337,ID0338,1,normal
1,343,ID0344,1,normal
1,352,ID0353,1,normal
1,357,ID0358,1,normal
1,359,ID0360,1,normal
1,361,ID0362,1,normal
1,362,ID0363,1,normal
1,364,ID0365,1,normal
1,368,ID0369,1,normal
1,373,ID0374,1,normal
1,376,ID0377,1,normal
1,381,ID0382,1,normal
1,393,ID0394,1,normal
1,395,ID0396,1,normal
1,399,ID0400,1,normal
1,401,ID0402,1,normal
1,403,ID0404,1,normal
1,404,ID0405,1,normal
1,406,ID0407,1,normal
1,409,ID0410,1,normal
1,412,ID0413,1,normal
1,419,ID0420,1,normal
1,422,ID0423,1,normal
1,424,ID0425,1,normal
1,430,ID0431,1,normal
1,438,ID0439,1,normal
1,444,ID0445,1,normal
1,457,ID0458,1,normal
1,459,ID0460,1,low
1,461,ID0462,1,normal
1,464,ID0465,1,normal
1,465,ID0466,1,normal
1,466,ID0467,1,high
1,468,ID0469,1,normal
1,472,ID0473,1,normal
1,473,ID0474,1,normal
1,475,ID0476,1,normal
1,478,ID0479,1,normal
1,490,ID0491,1,low
1,492,ID0493,1,normal
1,496,ID0497,1,normal
1,501,ID0502,1,normal
1,505,ID0506,1,normal
1,506,ID0507,1,normal
1,507,ID0508,1,normal
1,508,ID0509,1,normal
1,514,ID0515,1,normal
1,518,ID0519,1,low
1,519,ID0520,1,normal
1,520,ID0521,1,normal
1,521,ID0522,1,high
1,526,ID0527,1,normal
1,527,ID0528,1,normal
